id,name,is_animation_studio,site_url,favorites
413,Pastel,True,https://anilist.co/studio/413,12
35,Seven Arcs,True,https://anilist.co/studio/35,134
474,Shogakukan Music & Digital Entertainment,False,https://anilist.co/studio/474,3
118,SynergySP,True,https://anilist.co/studio/118,32
210,Studio Tulip,True,https://anilist.co/studio/210,3
32,Manglobe,True,https://anilist.co/studio/32,308
835,UNLIMITED Partners,False,https://anilist.co/studio/835,0
6468,TIA,True,https://anilist.co/studio/6468,0
247,Shin-Ei Animation,True,https://anilist.co/studio/247,141
234,Oh! Production,True,https://anilist.co/studio/234,6
7045,Maple Toon,True,https://anilist.co/studio/7045,1
6930,Bandai Namco Shanghai,False,https://anilist.co/studio/6930,0
249,Robot,True,https://anilist.co/studio/249,7
235,Shirogumi,True,https://anilist.co/studio/235,7
6341,ADK Emotions,False,https://anilist.co/studio/6341,1
6988,Simage Animation,True,https://anilist.co/studio/6988,0
6251,monofilmo,False,https://anilist.co/studio/6251,1
95,Doga Kobo,True,https://anilist.co/studio/95,1888
561,A-1 Pictures,True,https://anilist.co/studio/561,9471
156,Polygram Japan,False,https://anilist.co/studio/156,1
7305,Qingxiang,True,https://anilist.co/studio/7305,0
37,Studio DEEN,True,https://anilist.co/studio/37,869
99,Kitty Film,False,https://anilist.co/studio/99,12
6708,Fuji Creative Corporation,False,https://anilist.co/studio/6708,4
177,Studio Kyuuma,True,https://anilist.co/studio/177,2
6566,Sunflowers,True,https://anilist.co/studio/6566,0
2,Kyoto Animation,True,https://anilist.co/studio/2,19054
6567,studio CANDY BOX,True,https://anilist.co/studio/6567,1
6713,Myrica Music,False,https://anilist.co/studio/6713,0
67,OB Planning,False,https://anilist.co/studio/67,1
179,A.C.G.T.,True,https://anilist.co/studio/179,28
6716,SEGA,False,https://anilist.co/studio/6716,19
6881,Nippon Crown,False,https://anilist.co/studio/6881,2
7021,Coamix,False,https://anilist.co/studio/7021,0
7020,eFrontier,False,https://anilist.co/studio/7020,0
455,Palm Studio,True,https://anilist.co/studio/455,0
77,APPP,True,https://anilist.co/studio/77,17
7363,Kaca Entertainment,True,https://anilist.co/studio/7363,0
486,Digital Frontier,True,https://anilist.co/studio/486,7
30,Ajiado,True,https://anilist.co/studio/30,80
41,Satelight,True,https://anilist.co/studio/41,277
7321,Sound Cadence,False,https://anilist.co/studio/7321,0
6559,Akita Shoten,False,https://anilist.co/studio/6559,2
135,MediaNet,False,https://anilist.co/studio/135,3
6073,Millepensee,True,https://anilist.co/studio/6073,35
61,Frontier Works,False,https://anilist.co/studio/61,29
6428,A-Sketch,False,https://anilist.co/studio/6428,2
647,Memory-Tech,False,https://anilist.co/studio/647,5
6430,Lawson Entertainment,False,https://anilist.co/studio/6430,2
6637,Daiichi Kosho Company,False,https://anilist.co/studio/6637,0
51,diomedéa,True,https://anilist.co/studio/51,167
553,Marvy Jack,True,https://anilist.co/studio/553,9
7035,Alfred Imageworks,True,https://anilist.co/studio/7035,1
6693,The Monk Studios,True,https://anilist.co/studio/6693,0
6460,Studio Live,True,https://anilist.co/studio/6460,4
397,Bridge,True,https://anilist.co/studio/397,32
6222,CloverWorks,True,https://anilist.co/studio/6222,5972
470,GAGA,False,https://anilist.co/studio/470,1
765,Sakura Create,True,https://anilist.co/studio/765,24
6892,Forecast Communications,False,https://anilist.co/studio/6892,0
484,TOKYOPOP,False,https://anilist.co/studio/484,5
7086,Jaggard,True,https://anilist.co/studio/7086,0
583,Annapuru,True,https://anilist.co/studio/583,1
6238,3xCube,False,https://anilist.co/studio/6238,1
577,Tohokushinsha Film Corporation,False,https://anilist.co/studio/577,2
429,Office AO,True,https://anilist.co/studio/429,3
452,Knack Productions,False,https://anilist.co/studio/452,6
4419,Studio Colorido,True,https://anilist.co/studio/4419,261
13,Studio 4°C,True,https://anilist.co/studio/13,404
254,Soft Garage,False,https://anilist.co/studio/254,1
15,Sony Pictures Entertainment,False,https://anilist.co/studio/15,22
6101,Signal.MD,True,https://anilist.co/studio/6101,37
6665,Fields,False,https://anilist.co/studio/6665,0
719,Studio Mausu,False,https://anilist.co/studio/719,7
150,Sanrio,False,https://anilist.co/studio/150,167
284,Central Park Media,False,https://anilist.co/studio/284,6
6199,Twin Engine,False,https://anilist.co/studio/6199,47
6947,Mitsubishi Corporation,False,https://anilist.co/studio/6947,0
89,BeSTACK,False,https://anilist.co/studio/89,0
57,Touhouku Shinsha,False,https://anilist.co/studio/57,1
490,Maiden Japan,False,https://anilist.co/studio/490,1
458,Beijing Sharaku Art,True,https://anilist.co/studio/458,0
7206,Project Team Argos,True,https://anilist.co/studio/7206,0
147,SKY Perfect Well Think,False,https://anilist.co/studio/147,2
921,Dynamic Planning,False,https://anilist.co/studio/921,9
6305,Animation Staff Room,True,https://anilist.co/studio/6305,1
7109,Asahi Housou,False,https://anilist.co/studio/7109,0
6137,Studio M2,True,https://anilist.co/studio/6137,20
79,Genco,False,https://anilist.co/studio/79,29
866,Fanworks,True,https://anilist.co/studio/866,23
259,Kaeruotoko Shokai,False,https://anilist.co/studio/259,0
149,SME Visual Works,False,https://anilist.co/studio/149,3
127,Yomiko Advertising,False,https://anilist.co/studio/127,3
7285,Toei,False,https://anilist.co/studio/7285,3
494,Studio Take Off,True,https://anilist.co/studio/494,0
507,Universal Studios,False,https://anilist.co/studio/507,2
6413,DMM.futureworks,True,https://anilist.co/studio/6413,4
43,ufotable,True,https://anilist.co/studio/43,12855
21,Studio Ghibli,True,https://anilist.co/studio/21,9834
417,Walt Disney Studios,False,https://anilist.co/studio/417,69
6301,Studio Crocodile,True,https://anilist.co/studio/6301,3
489,TCJ,False,https://anilist.co/studio/489,1
6742,Techno Sound,False,https://anilist.co/studio/6742,2
7371,Folium,True,https://anilist.co/studio/7371,0
6743,Toho Music,False,https://anilist.co/studio/6743,0
6746,Heartyware,False,https://anilist.co/studio/6746,0
6145,Science SARU,True,https://anilist.co/studio/6145,1201
47,Studio Khara,True,https://anilist.co/studio/47,355
815,EMI,False,https://anilist.co/studio/815,0
803,Trigger,True,https://anilist.co/studio/803,6970
453,Tsuburaya Productions,True,https://anilist.co/studio/453,11
6371,Yostar Pictures,True,https://anilist.co/studio/6371,62
7139,Koei Tecmo Games,False,https://anilist.co/studio/7139,0
7431,Wonderful Works,False,https://anilist.co/studio/7431,0
6568,Studio Gohan,True,https://anilist.co/studio/6568,3
60,Actas,True,https://anilist.co/studio/60,58
6117,Zero-G,True,https://anilist.co/studio/6117,70
6310,Cygames,False,https://anilist.co/studio/6310,28
6312,Studio KAI,True,https://anilist.co/studio/6312,48
400,Gathering,False,https://anilist.co/studio/400,4
6182,CygamesPictures,True,https://anilist.co/studio/6182,102
218,ZEXCS,True,https://anilist.co/studio/218,53
6411,Sonilude,False,https://anilist.co/studio/6411,2
418,Studio Gokumi,True,https://anilist.co/studio/418,107
132,P.A. Works,True,https://anilist.co/studio/132,2222
7095,Scooter Films,True,https://anilist.co/studio/7095,0
6699,dugout,False,https://anilist.co/studio/6699,0
711,Delfi Sound,False,https://anilist.co/studio/711,3
7008,Project Studio Q,True,https://anilist.co/studio/7008,0
6339,Good Smile Company,False,https://anilist.co/studio/6339,4
291,CoMix Wave,True,https://anilist.co/studio/291,1987
7361,DONUTS,False,https://anilist.co/studio/7361,0
