media_id,genre_id
3455,Romance
3455,Sci-Fi
119493,Action
119493,Comedy
119493,Ecchi
119493,Romance
119493,Supernatural
142849,Action
142849,Comedy
142849,Ecchi
142849,Romance
142849,Supernatural
108482,Comedy
108482,Ecchi
108482,Romance
31012,Action
31012,Adventure
31012,Fantasy
86685,Comedy
86685,Ecchi
47606,Comedy
47606,Ecchi
47606,Romance
7590,Comedy
7590,Romance
50550,Comedy
50550,Romance
8599,Comedy
8599,Ecchi
49018,Action
49018,Adventure
39711,Comedy
39711,Drama
39711,Romance
39711,Slice of Life
51274,Comedy
51274,Drama
51274,Slice of Life
12365,Comedy
12365,Drama
12365,Romance
12365,Slice of Life
102608,Comedy
10030,Comedy
10030,Drama
10030,Romance
10030,Slice of Life
7674,Comedy
7674,Drama
7674,Romance
7674,Slice of Life
15711,Comedy
133105,Mystery
95994,Comedy
95994,Drama
95994,Romance
30043,Comedy
30043,Sports
102052,Comedy
102052,Sports
15,Action
15,Comedy
15,Sports
6418,Action
6418,Comedy
6418,Sports
1317,Sports
30047,Action
30047,Comedy
53504,Action
53504,Sports
1604,Action
1604,Comedy
143393,Action
143393,Adventure
143393,Slice of Life
21677,Action
21677,Sci-Fi
85227,Action
85227,Sci-Fi
8532,Comedy
9023,Comedy
91752,Action
91752,Comedy
47288,Action
47288,Comedy
135895,Comedy
53598,Comedy
53598,Drama
16718,Comedy
169000,Action
169000,Comedy
169000,Drama
169000,Sci-Fi
20760,Action
20760,Comedy
20760,Drama
20760,Sci-Fi
20882,Action
20882,Comedy
20882,Sci-Fi
21588,Comedy
21501,Action
21501,Comedy
2951,Action
2951,Comedy
2951,Sci-Fi
34836,Action
34836,Comedy
7472,Action
7472,Comedy
7472,Sci-Fi
9735,Action
9735,Comedy
9735,Sci-Fi
52810,Action
52810,Sci-Fi
95458,Action
95458,Comedy
95458,Sci-Fi
75757,Comedy
75757,Drama
75757,Ecchi
110338,Action
110338,Adventure
110338,Comedy
110338,Ecchi
114043,Comedy
114043,Drama
114043,Ecchi
109963,Comedy
109963,Ecchi
100773,Comedy
100773,Ecchi
101924,Drama
101924,Ecchi
99255,Comedy
99255,Ecchi
21518,Comedy
21518,Ecchi
20923,Comedy
20923,Ecchi
21691,Comedy
21691,Ecchi
98702,Action
98702,Comedy
98702,Ecchi
105229,Comedy
105229,Romance
86160,Comedy
86160,Drama
90653,Comedy
90653,Drama
90653,Ecchi
61499,Comedy
61499,Romance
61499,Slice of Life
85825,Comedy
85825,Ecchi
85825,Fantasy
85825,Mahou Shoujo
85825,Romance
85825,Slice of Life
20728,Comedy
20728,Romance
18897,Comedy
18897,Romance
18897,Slice of Life
20876,Comedy
