media_id,synonym
101925,Gintama.: Silver Soul Arc 2
101925,Gintama. Silver Soul Arc Season 2
101925,Gintama.: Shirogane no Tamashii-hen Season 2
114129,กินทามะ THE FINAL
97889,Gintama. (2017)
15335,Gintama Movie 2
15335,Gintama the Final Movie
15417,Gintama' (2012)
15417,"Gintama' Overdrive, Kintama"
9969,Gintama (2011)
9863,スケットダンス
16395,SKET Dance OVA
31414,スケット・ダンス
31414,Sket Dance - Quái kiệt học đường
30671,To LOVE-Ru Trouble
30671,To-Love-Ru
30671,To Love You
30671,To Love You - Trouble
30671,วุ่นรักยัยต่างดาว 
5667,To-LOVE-Ru OVA
5667,Trouble OVA
5667,To Love You OVA
5667,To Love Ru OVA
9181,Motto To-Love-Ru
9181,More Trouble
9181,More ToLoveRu
13663,To LOVE-Ru Trouble Darkness
13663,To-Love-Ru Darkness
13663,ToLoveRu Darkness
20995,To LOVE-Ru Trouble Darkness 2nd
21853,To Love Ru Darkness 2nd OVA
100659,To LOVE-Ru (2017)
100659,To Love ru: Trouble - Multiplication
100659, From the Front
100659, from Behind
52519,To LOVE-Ru Trouble Darkness
52519,To-Love-Ru Darkness
109316,To LOVEる - 矢吹健太郎20周年記念
109316,To Love-Ru: Kentaro Yabuki 20th Anniversary
109315,To LOVEる - 矢吹健太郎20周年記念
109315,To Love-Ru: Kentaro Yabuki 20th Anniversary
109315,Rito and Sayaka's Afterschool Special
30040,Stray Cat
2589,Black Cat Episode 14.5
2589,Black Cat OVA
160524,To Love-Ru: Mikan & Maruru
13851,To LOVE-Ru Trouble Darkness OVA
13851,To-Love-Ru Darkness OVA
13851,ToLoveRu Darkness OVA
13851,To Love Ru Darkness OVA
3455,To Love You
3455,ToLoveRu
3455,ToLoveRu Trouble
3455,To-LOVE-Ru
3455,วุ่นรักยัยต่างดาว 
119493,เรื่องอลวน คน ปิศาจ
142849,เรื่องอลวนคนปิศาจ
142849,Треугольник аякаси
108482,Leo x Leo
86685,To Love-Ru: Dangerous Girls Talk
86685,TO-LOVE-RU: PELIGROSA CHARLA DE CHICAS
7590,Stray Cats Overrun!
8599,Mayoi Neko Neko Neko Gekijou
8599,Mayoi Neko Neko Neko Gekijo
8599,Stray Cats Cats Cats Theater
39711,Бакуман
51274,Otter11
51274,Otters 11
51274,Otter no. 11
86513,Bakuman.: Age 13
86513,Bakuman.: Age 14
133105,PCP: Perfect Crime Party
15,Eyeshield21
1317,Eyeshield 21 Jump Fest 2004
30047,Kateikyoushi Hitman Reborn!
30047,Home Tutor Hitman Reborn!
30047,Tutor Hitman Reborn!
53504,Vongola Gran Prix Kuru
1604,Katekyo Hitman Reborn!
1604,ครูพิเศษจอมป่วน รีบอร์น!
1604,Gia sư HITMAN REBORN! 
143393,Katekyo Hitman Reborn! x ēlDLIVE Special
8532,REBORN! OVA
9023,Home Tutor Hitman Reborn!
91752,Reborn vs Evil Hitmen
47288,Reborn! Hidden Bullet
47288,ครูพิเศษจอมป่วน รีบอร์น Secret Bullet
169000,Gintama on Theater 2D: Thorny Arc
20760,"Shinsengumi Douran-hen, Kabuki Chou Shitennou-hen"
20760,Kabuki-chou Devas-hen
20760,Gintama: The Best of Gintama on Theater 2D
20882,Gintama: Jump Festa 2014 Special
20882,銀魂ジャンプフェスタアニメツアー’ 2014
20882,Gintama OAD
20882,Gintama' OVA
21588,Gintama: Love Potion Arc
2951,Gintama OVA
34836,Thirteen
7472,Gintama: Benizakura Arc - A New Retelling
7472,Gintama Movie: Crimson Sakura Chapter New Edition
7472,Gintama: Shin-yaku Benizakura-hen
9735,Gintama: Shinyaku Benizakura-hen OVA
9735,Gintama: Benizakura Arc - A New Retelling
9735,Gintama Movie: Crimson Sakura Chapter New Edition
9735,Gintama: Shin-yaku Benizakura-hen
52810,Bankara
52810,Here Comes Mr. Uncivilised
75757,Kulinarne Pojedynki
114043,食戟之灵：豪之皿
114043,ยอดนักปรุงโซมะ ภาค 5
109963,食戟之灵：神之皿
109963,ยอดนักปรุงโซมะ ภาค 4
100773,食戟之灵 餐之皿 远月列车篇
100773,ยอดนักปรุงโซมะ ภาค 3 ครึ่งหลัง
101924,Shokugeki no Souma: San no Sara OVA
101924,Shokugeki no Souma: San no Sara - Erina no Shin Seikatsu
101924,Food Wars! The Third Plate OVA
99255,食戟之灵 餐之皿
99255,ยอดนักปรุงโซมะ ภาค 3
21518,食戟之灵 贰之皿
21518,ยอดนักปรุงโซมะ ภาค 2
20923,لا سلام على طعام
20923,Food Wars! The First Plate
20923,食戟之灵
20923,ยอดนักปรุงโซมะ
21691,Food Wars! Shokugeki no Soma: Takumi's Downtown Competition
21691,Food Wars! Shokugeki no Soma: Erina's Summer Vacation
98702,Food Wars! The Second Plate: A Fateful Encounter Under the Autumn Moon
98702,Food Wars! The Second Plate: The Totsuki Elite Ten
98702,ยอดนักปรุงโซมะ ภาค 2 OVA
105229,Our Love Counseling
86160,Food Wars: Etoile
90653,Food Wars: à la Carte
61499, รักลวงป่วนใจ
85825,Magical Pâtissière Kosaki-chan!
20728, รักลวงป่วนใจ OVA
18897,Nisekoi: False Love
18897, รักลวงป่วนใจ
20876,Nisekoi2 -False Love-
20876, รักลวงป่วนใจ ภาค 2
119947,Nisekoi: (2016)
119947,ニセコイ: (2016)
5081,Monster Tale
5081,化物语
5081,ปกรณัมของเหล่าภูต
5081,Monogatari
54499,Bakemonogatari Short Stories
21400,Wound Tale 3: Cold Blood
143701,Koyomi Vamp
143701,Kizumonogatari - La Légende de Kiss-Shot
9260,Wound Tale 1: Iron Blood
21399,Wound Tale 2: Hot Blood
44893,Hitagi Crab
44893,Mayoi Snail
44893,Suruga Monkey
44893,Nadeko Snake
44893,Tsubasa Cat
44893,ปกรณัมของเหล่าภูต
44893,Bakemonogatari - Légendes chimériques
101311,Monster Tale
101311,Monogatari Series: First Season
101311,Истории монстров
101311,ปกรณัมของเหล่าภูต
101311,化物语
143663,漫画 化物語 シャフト制作特別PV
143663,Bakemonogatari Special PV
143704,Tsubasa Family
53751,Tsubasa Tiger
17074,Nekomonogatari White
17074,Kabukimonogatari
17074,Otorimonogatari
17074,Onimonogatari
17074,Koimonogatari
143720,Mayoi Jiangshi
143720,ปกรณัมเอนเอียง
143721,Suruga Devil
20593,Monogatari Series Second Season +α
20593,ปกรณัมแห่งบุปผา
100815,Continued End Tale
21745,Owarimonogatari 2
21745,End Tale
143747,Ougi Formula
143747,Sodachi Riddle
143747,Sodachi Lost
143747,Shinobu Mail
143747,Mayoi Hell
143747,Hitagi Rendezvous
143747,Ougi Dark
143749,Koyomi Reverse
96019,Orokamonogatari: Fool Tale
96019,Sodachi Fiasco
96019,Suruga Bonehead
96019,Tsukihi Undo
143762,Wazamonogatari: Sword Tale
143762,Princess Beauty
143762,Acerola Bon Appétit
143762,Karen Ogre
143762,Tsubasa Sleeping
143763,Nademonogatari: Caressing Tale
143763,Nadeko Draw
143764,Musubimonogatari: Bind Tale
143764,Zenka Mermaid
143764,Nozomi Golem
143764,Mitome Wolf
143764,Tsuzura Human
100355,Shinobumonogatari: Endurance Tale
100355,Shinobu Mastered
143775,Yoimonogatari: Evening Tale
143775,Mayoi Snail
143775,Mayoi Snake
143776,Amarimonogatari: Leftover Tale
143776,Yotsugi Body
143776,Yotsugi Buddy
143776,Yotsugi Shadow
143778,Ougimonogatari: Fan Tale
143778,Ougi Light
143778,Ougi Flight
143780,Shinomonogatari: Death Tale
143780,Shinobu Suicide
143780,Nadeko Around
165881,Hitagi Honeymoon
165881,ひたぎハネモーン
110415,Mix Story
110415,Mixed Story
48161,Sword Tale 
48161,KATANAGATARI: Sword Tale
48161,Đao ngữ
6594,Sword Story
100995,Legend of Eccentric Youth! Nishio Academy
48162,Zerozaki Soushiki's Human Exam
48162,Ningen Series
58075,Zerozaki Soushiki's Humanity Test
87161,Kishishiki Zerozaki's Human Knock
144028,Zerozaki Kishishiki's Human Knock
144028,Ningen Series
144029,Zerozaki Magashiki's Human Character
144029,Ningen Series
144030,Zerozaki Hitoshiki's Human Relations: Relations with Niounomiya Izumu
144030,Ningen Series
144031,Zerozaki Hitoshiki's Human Relations: Relations with Iori Mutou
144031,Ningen Series
144032,Zerozaki Hitoshiki's Human Relations: Relations with Zerozaki Soushiki
144032,Ningen Series
144033,Hitoshiki Zerozaki's Human Relations: Relations with the Nonsense User
144033,Ningen Series
143838,Strangulation: Kubishime Romanticist - No Longer Human - Hitoshiki Zerozaki
143838,Zaregoto Series
143838,Lời nói đùa
143838,Kẻ siết cổ mộng mơ: Zerozaki Hitoshiki – Mất tư cách làm người
39726,Decapitation: Kubikiri Cycle - The Blue Savant and The Nonsense User
39726,Lời nói đùa
39726,Zaregoto Series
39726,วัฏสังหารแห่งการบั่นคอ รหัสคดีไร้สาระ 
39726,Vòng xoáy chặt đầu: Bác học màu lam và kẻ thích bông đùa
87272,The First Love of Humanity's Strongest
87272,The Unrequited Love of Mankind's Strongest
87272,Saikyou Series
144085,The Pure Love of Humanity's Strongest
144085,The Passionate Love of Mankind's Strongest
144085,The Flirting of Mankind's Strongest
144085,Jun Aikawa's Failure Miss/ion1: 4321 Scribbles
144085,Jun Aikawa's Failure Miss/ion2: The Altercation Association
144085,Saikyou Series
144083,The Heartbeat of Humanity's Strongest
144083,The Love Affair of Mankind's Strongest
144083,Jun Aikawa's Failure Miss/ion3: Too Dead to Die
144083,Jun Aikawa's Failure Miss/ion4: Battle of Wits with the Digital Detective
144083,Jun Aikawa's Failure Miss/ion5: The Undefeated Gambler and the Failed Contractor
144083,Saikyou Series
144086,The Sweetheart of Humanity's Strongest
144086,The Love Song of Humanity's Strongest
144086,The XOXO of Humanity's Strongest
144086,The Love Fortune of Humanity's Strongest
144086,The June Bride of Humanity's Strongest
144086,The Platonic of Humanity's Strongest
144086,Saikyou Series
144087,The Venice of Humanity's Strongest
21803,Zaregoto Series
21803,Decapitation Cycle
101912,Sangatsu no Phantasia: Cobalt World
143839,Hanging High School
143839,Zaregoto Series
143839,Lời nói đùa
143839,Học viện Treo cổ - Đệ tử của Kẻ thích bông đùa
143840,Psycho Logical (Part One): Gaisuke Utsurigi's Nonsense Killer
143840,Psycho Logical (Part Two): Sour Little Song
143840,サイコロジカル（上）　兎吊木垓輔の戯言殺し
143840,サイコロジカル（下）　曳かれ者の小唄
143841,"Cannibal Magical: Niounomiya Siblings, Masters of Carnage"
143842,Uprooted Radical (Part One): The Thirteen Stairs
143842,Uprooted Radical (Part Two): Overkill Red vs. The Orange Seed
143842,Uprooted Radical (Part Three): The Blue Savant and the Nonsense User
143842,ネコソギラジカル（上）　十三階段
143842,ネコソギラジカル（中）　赤き征裁ＶＳ．橙なる種
143842,ネコソギラジカル（下）　青色サヴァンと戯言遣い
153411,Kidnap Kidding: The Blue Savant and the Nonsense User's Daughter
153411,Zaregoto Series
108931,悲鳴傳
51115,Our Broken World
51115,Sekai Series
144054,Eerie and Artless Enclosed World
144054,Sekai Series
144055,The World We Broke
144055,Sekai Series
144056,Our Eerie and Artless Enclosed Broken World
144056,Sekai Series
144057,My World
144057,Sekai Series
45200,Mahou Shoujo Risuka
45200,New Authentic Magical Girl Risuka
45200,Risuka Series
126755,New Authentic Magical Girl Risuka
126755,Shin Honkaku Magical Girl Risuka
126755,"Risuka, la nueva y auténtica chica mágica"
126755,ริสึกะ มิติใหม่ของสาวน้อยเวทมนตร์
126574,Mahou Shoujo Risuka
126574,New Authentic Magical Girl Risuka
113428,Bishounen Series
113428,PBDC
113428,美少年侦探团
113428,ขบวนการนักสืบหนุ่มรูปงาม
97629,The Memorandum of Kyouko Okitegami
97629,Boukyaku Tantei Series
97629,Forgetful Detective Series
97629,Okitegami Kyoko - Sổ ghi chép
86808,The Memorandum of Kyoko Okitegami
144128,The Ultimatum of Kyouko Okitegami
144128,Boukyaku Tantei Series
144128,Forgetful Detective Series
144128,หนังสือท้าทายถึงยอดนักสืบเคียวโกะ
144129,The Testament of Kyouko Okitegami
144129,Boukyaku Tantei Series
144129,Forgetful Detective Series
144130,The Resignation Letter of Kyouko Okitegami
144130,Boukyaku Tantei Series
144130,Forgetful Detective Series
144131,The Marriage Registration of Kyouko Okitegami
144131,Boukyaku Tantei Series
144131,Forgetful Detective Series
144132,The Household Ledger of Kyouko Okitegami
144132,Boukyaku Tantei Series
144132,Forgetful Detective Series
144133,The Travel Journal of Kyouko Okitegami
144133,Boukyaku Tantei Series
144133,Forgetful Detective Series
144134,The Back Cover of Kyouko Okitegami
144134,Boukyaku Tantei Series
144134,Forgetful Detective Series
144135,The Color Chart of Kyouko Okitegami
144135,Boukyaku Tantei Series
144135,Forgetful Detective Series
144136,The Train Ticket of Kyouko Okitegami
144136,Boukyaku Tantei Series
144136,Forgetful Detective Series
144137,The Blueprint of Kyouko Okitegami
144137,Boukyaku Tantei Series
144137,Forgetful Detective Series
144138,The License of Kyouko Okitegami
144138,Boukyaku Tantei Series
144138,Forgetful Detective Series
144127,The Testimonial of Kyouko Okitegami
144127,Boukyaku Tantei Series
144127,Forgetful Detective Series
144127,Okitegami Kyoko - Thư tiến cử
74227,Yotsugi Doll
143726,Hitagi End
143724,Shinobu Time
143722,Nadeko Medusa
20918,Possession Tale
21262,End Tale
21520,Calendar Tale
11597,Fake Tale
11597,Истории подделок
11597,ปกรณัมของเทียม
95265,Nisemonogatari Short Stories
143703,Karen Bee
143703,Tsukihi Phoenix
143743,Koyomi Stone
143743,Koyomi Flower
143743,Koyomi Sand
143743,Koyomi Water
143743,Koyomi Wind
143743,Koyomi Tree
143743,Koyomi Tea
143743,Koyomi Mountain
143743,Koyomi Torus
143743,Koyomi Seed
143743,Koyomi Nothing
143743,Koyomi Dead
104434,Madogatari
106790,Nisekoi Live Action Special
77000,High Kyuu!! x Nisekoi
77000,Nisekoi x High Kyuu!!
65243,Ball High!!
65243,HQ!!
65243,High Kyuu!!
65243,ไฮคิว!! คู่ตบฟ้าประทาน
65243,Haikyu!! - Chàng khổng lồ tí hon
20992,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 2
21698,Haikyu!! Karasuno High vs Shiratorizawa Academy
21698,Haikyuu!! 3
21698,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 3
98885,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou Recap
98885,Haikyuu!! Recap 4
98885,排球少年剧场版 观念之战
98885, ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 4
98884,排球少年剧场版 才能与感觉
98884,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 3
21244,排球少年剧场版 胜者与败者
21244,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 2
21120,排球少年剧场版 结束与开始
21120,ไฮคิว!! คู่ตบฟ้าประทาน เดอะมูฟวี่ 1
20464,High Kyuu!!
20464,HAIKYÛ !!
20464,排球少年！！
20464,Haikyu!! L'asso del volley
20464,ไฮคิว!! คู่ตบฟ้าประทาน
115217,Haikyuu!! Puppet Animation
115217,Haikyuu!! Stop-motion Animation
115217,Haikyuu!! Figure Animation
20884,Haikyuu!!: Jump Festa 2014 Special
20884,Haikyuu!!: Lev Genzan!
20884,Haikyuu!! OVA
20884, Haikyu‼ OAD: Lev Appears! 
20884,Haikyu!!: Lev ist hier!
107263,Haikyuu!! Quest Drama DVD
107263,Haikyu Quest
111790,"ボールの""道"""
111790,"Booru no ""Michi"""
111790,"The ""Path"" of the Ball"
111790,Haikyuu!! OVA
111790,ไฮคิว คู่ตบฟ้าประทาน Riku vs Kuu OVA
106625,Haikyu!! Season 4
106625,Haikyuu!! Season 4
106625,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 4 Part 1
106625,排球少年!! 第四季
113538,ไฮคิว!! คู่ตบฟ้าประทาน ภาค 4 Part 2
113538,Haikyu!! Season 4 Part 2
113538,排球少年!! 第四季
153658,ハイキュー!! FINAL 第1クール
153658,Haikyuu!! FINAL Part 1
107351,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen
21348,Haikyuu!!: Jump Festa 2015 Special
21348,Haikyuu!! OVA
21348, Haikyu‼ OAD: VS Failing Marks 
86054,คู่ตบ(มุก)ฟ้าประทาน
91850,High Kyuu!! Shousetsu-ban!!
91850,ไฮคิว คู่ตบฟ้าประทาน 
60987,Ball High!!
60987,HQ!!
60987,High Kyuu!!
109512,ハイキュー部!!
85194,Ore x Koi!!
85194,Ore Monogatari x Nisekoi Crossover
85194,Orekoi!!
85194,Oremonogatari x Nisekoi~Boys Side
85194,Oremonogatari x Nisekoi~Girls Side
66933,Ore Monogatari
66933,Câu chuyện tình tôi
66933,Mon histoire
20946,Mon Histoire
82389,Ore Raido
82389,Ao Haru Ride x Ore Monogatari!! Crossover Special
54294,Blue Spring Ride
54294,Aoharaido
54294,Ścieżki Młodości - Ao Haru Ride
54294,Omokage
54294,Sono wo Shitteru
54294,Strobe Edge
54294,A un passo da te
54294,Gençlik Yolculuğu
63297,Aoharaido
20596,Aoharaido
20837,Ao Haru Ride OVA
37378,Strobe Edge ~Unfinished Map~
37378,Strobe Edge ~Another Light~
37378,Colorless Dreamer
92493,Blue Spring Ride awaken
92493,Aoharaido awaken
90097,Nisekoi: Urabanashi
91144,Komi Naoshi Tanpenshuu
91144,Island
91144,Williams
91144,Personant
91144,Apple
91144,Nisekoi Pilot
91144,Nisekoi Prototype
91144,Koi no Kamisama
35801,Island
36943,Koi no Kamisama
36943,Koi no Kami sama
78151,境界觸發者
128605,Food Wars One-shot
128605,Shokugeki no Souma Pilot
128605,Food Wars Pilot
44022,กินทามะ ปี 3 ห้อง Z ครูซ่ากินปาจิ
44022,3-Z Class's Ginpachi-sensei
44022,3rd Year Class Z Ginpachi-sensei
162890,3-Z Class's Ginpachi-sensei
162890,3rd Year Class Z Ginpachi-sensei
21288,Monster Strike 2016
101926,Monster Strike the Movie: Beyond the Sky
107908,Pandora and Yawn
107908,Kouya no Juugeki-sen
107908,Seirei to Kaijuu no Machi
3008,Yattaman
3008,Yattaaman
4578,Time Bokan OVA
3915,Time Fighter
3915,Time Fighters in The Land of Fantasy
5475,Time Boken 2000: Kiramekiman
5475,Kaitou Kiramekiman
5475,Thief Glittering Man
6889,Time Bokan Series: Zendaman
8553,Rescueman
8553,I predatori del tempo
8011,Go for it
8011,Ippatsuman!
8011,Time Machine Series Ippatsuman the Antihero
11873,Guzura
11873,Gozula
11873,Hey I'm Guzura!
3683,Kabba Totto
3683,Tic Tac Toons
3683,Ippotommaso
1445,Mach Go Go Go
37546,Mach Go Go Go
3571,Mach Go Go Go
3571,Mach Go Go Go: Restart
5287,Homerun Kanta
4808,Inner Destructive Fist Polymar
4808,Hurricane Polimar
3398,New Hurricane Polymar
168408,Neo-Human Casshern R
4013,Paul no Miracle Dai Sakusen
4013,Paul's Miracle War
4013,Paul's Miraculous Adventures
4013,Il fantastico mondo di Paul
2574,Saban's Adventures of Pinocchio
6989,Uchu Ace
6989,Uchuu Eesu
6989,Uchu Esu
1458,Tekkaman
1458,the Space Knight
1458,Tekkaman: El caballero galáctico
1459,Teknoman
1459,Star Knight Tekkaman Blade
1460,Tekkaman Blade 2
1460,Space Knight Tekkaman Blade 2
1460,Space Knight Tekkaman Blade OVA
1460,Uchu no Kishi Tekkaman Blade OVA
2300,Uchuu no Kishi Tekkaman Blade - S1 Twin Blood
307,Demetan Croaker
307,The Boy Frog
307,The Brave Frog
307,"Demetan, der Froschjunge"
307,Abenteuer am Regenbogenteich
307,Eventyret i Regnbuedammen
3858,Insect Story: Honey Bee Hutch
3858,Las aventuras de Hatchi
3858,La abejita Hutch
