id,name,about,avatar_large,avatar_medium,banner_image,options_title_language,options_display_adult_content,options_airing_notifications,options_profile_color,options_staff_name_language,score_format,site_url,created_at,updated_at,stats_anime_count,stats_anime_mean_score,stats_anime_standard_deviation,stats_anime_minutes_watched,stats_anime_episodes_watched,stats_manga_count,stats_manga_mean_score,stats_manga_standard_deviation,stats_manga_chapters_read,stats_manga_volumes_read
6370521,AbysalCryo,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370521-FvH8BGnm0maF.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370521-FvH8BGnm0maF.jpg,,ENGLISH,False,True,red,ROMAJI_WESTERN,POINT_100,https://anilist.co/user/6370521,1690196491,1691493410,115,36.52,40.2,32837,1381,1,100,0,4,10
6370522,Justwill007,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370522-8cT2i7aTqw6A.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370522-8cT2i7aTqw6A.jpg,,ENGLISH,False,True,purple,ROMAJI_WESTERN,POINT_100,https://anilist.co/user/6370522,1690196583,1690197483,1,0,0,3552,148,0,0,0,0,0
6370523,dantekai14,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_100,https://anilist.co/user/6370523,1690196629,1711206206,1,0,0,192,8,1,0,0,143,0
6370532,CpyRighted,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370532-RcmGJ4s24YJI.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370532-RcmGJ4s24YJI.png,,ENGLISH,False,True,pink,ROMAJI_WESTERN,POINT_100,https://anilist.co/user/6370532,1690197218,1711400899,21,0,0,19057,784,0,0,0,0,0
6370536,broughtherebyfate,"__Completed __ _Manhwa,Manhua,Manga,Donghua,Anime & Ani List_",https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370536-9UfU4KuSZrVH.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370536-9UfU4KuSZrVH.jpg,https://s4.anilist.co/file/anilistcdn/user/banner/b6370536-VyFmIR5WC8zC.jpg,ENGLISH,True,True,gray,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6370536,1690197318,1711561765,30,10,0,5918,244,22,0,0,396,43
6370540,JinnTaTo,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370540-O61TfHdC3BNi.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370540-O61TfHdC3BNi.jpg,,ENGLISH,False,True,gray,ROMAJI_WESTERN,POINT_3,https://anilist.co/user/6370540,1690197604,1703775976,2,0,0,264,11,0,0,0,0,0
6370542,Aannoonn,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,True,True,purple,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6370542,1690197644,1704075863,25,10,0,4763,199,6,0,0,183,0
6370547,noobcity,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370547-4vfsGsi6LcKW.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370547-4vfsGsi6LcKW.jpg,,ROMAJI,False,True,gray,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6370547,1690198109,1696852805,277,76.53,14,54384,2473,23,71.25,13.1,1011,111
6370548,Hyunabyunaslay,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ROMAJI,False,True,pink,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6370548,1690198126,1711211233,4,0,0,312,13,4,0,0,66,0
6370549,mhnw3eb,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ROMAJI,False,True,gray,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6370549,1690198295,1711240845,10,86,8.9,31683,1316,10,90,0,764,0
6370557,homotopysabi,(she/her)(lesbian),https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370557-ano2vd9WWX0Q.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370557-ano2vd9WWX0Q.jpg,https://s4.anilist.co/file/anilistcdn/user/banner/b6370557-UU09NNtqKY36.jpg,ROMAJI,True,False,pink,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6370557,1690198669,1711411888,263,79.27,23.6,184380,7749,90,90.75,19.8,3764,494
6370559,Ronjaxx2,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ROMAJI,False,True,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6370559,1690198684,1711474371,9,0,0,2496,104,0,0,0,0,0
6370563,Serat,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/default.png,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/default.png,,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_10,https://anilist.co/user/6370563,1690198795,1711240816,482,0,0,206711,8335,25,0,0,2851,351
6370567,zxrxaaa,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6370567-bcvPVPYsMcfH.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6370567-bcvPVPYsMcfH.jpg,https://s4.anilist.co/file/anilistcdn/user/banner/b6370567-IEBTQIrsrA1R.jpg,ENGLISH,False,True,purple,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6370567,1690198980,1711571613,89,85.25,12.4,26762,1080,2,90,0,114,0
6253604,hinilshier,,https://s4.anilist.co/file/anilistcdn/user/avatar/large/b6253604-HNqannxXm1Am.jpg,https://s4.anilist.co/file/anilistcdn/user/avatar/medium/b6253604-HNqannxXm1Am.jpg,https://s4.anilist.co/file/anilistcdn/user/banner/b6253604-xg3h7A6QNC2a.jpg,ENGLISH,False,True,blue,ROMAJI_WESTERN,POINT_10_DECIMAL,https://anilist.co/user/6253604,1682250557,1711240752,56,71.57,15.2,67694,2832,18,74.33,10,1556,182
